"Story","Title","Result","Date","Stability","Duration (s)"
"Logout","Customer logging out of their online account","SUCCESS","2018-09-20T10:17:11.861+05:30[Asia/Calcutta]","0.0","28.71"
"Logout","Customer logging out of their Bord Gais online account","SUCCESS","2018-09-20T10:17:40.576+05:30[Asia/Calcutta]","0.0","8.68"
