"Story","Title","Result","Date","Stability","Duration (s)"
"Logout","Customer logging out of their Bord Gais online account","SUCCESS","2018-10-04T11:48:33.637+05:30","0.0","8.24"
"Logout","Customer logging out of their online account","SUCCESS","2018-10-04T11:48:06.994+05:30","0.0","26.63"
