"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Customer login into his account with valid credentials","SUCCESS","2018-09-20T10:16:26.149+05:30[Asia/Calcutta]","0.0","27.83"
"Login","Customer should not login to their account with incorrect credentials","SUCCESS","2018-09-20T10:16:54.226+05:30[Asia/Calcutta]","0.0","16.55"
